year,slug_game,country_3_letter_code_x,bronze_medals,gold_medals,silver_medals,total_medals,total_athletes,avg_age_athletes,medals_in_current_year,city,season,game_name,cumulative_medals,is_host
2014,sochi-2014,SLO,4,2,2,8,36,27.4875,8,Russian Federation,Winter,Sochi 2014,30.0,0
2016,rio-2016,SLO,1,1,2,4,33,28.28205128205128,4,Brazil,Summer,Rio 2016,38.0,0
2018,pyeongchang-2018,SLO,1,0,1,2,44,25.857142857142858,2,Republic of Korea,Winter,PyeongChang 2018,42.0,0
2020,tokyo-2020,SLO,1,3,1,5,30,27.3125,5,Japan,Summer,Tokyo 2020,44.0,0
2022,beijing-2022,SLO,2,2,3,7,42,26.818181818181817,7,China,Winter,Beijing 2022,49.0,0
2020,tokyo-2020,SMR,2,0,2,4,4,30.0,4,Japan,Summer,Tokyo 2020,56.0,0
2008,beijing-2008,SRB,2,0,1,3,26,28.194444444444443,3,China,Summer,Beijing 2008,4.0,0
2012,london-2012,SRB,2,1,1,4,46,27.59259259259259,4,Great Britain,Summer,London 2012,3.0,0
2016,rio-2016,SRB,2,2,5,9,37,28.94,9,Brazil,Summer,Rio 2016,7.0,0
2020,tokyo-2020,SRB,5,3,1,9,32,27.975,9,Japan,Summer,Tokyo 2020,16.0,0
1948,london-1948,SRI,0,0,1,1,6,29.0,1,Great Britain,Summer,London 1948,25.0,0
2000,sydney-2000,SRI,0,0,1,1,7,30.75,1,Australia,Summer,Sydney 2000,1.0,0
2008,beijing-2008,SUD,0,0,1,1,2,22.5,1,China,Summer,Beijing 2008,2.0,0
1896,athens-1896,SUI,0,1,2,3,3,31.0,3,Greece,Summer,Athens 1896,1.0,0
1900,paris-1900,SUI,1,6,2,9,16,35.5,9,France,Summer,Paris 1900,3.0,0
1904,st-louis-1904,SUI,2,1,0,3,3,25.0,3,United States,Summer,St. Louis 1904,12.0,0
1920,antwerp-1920,SUI,7,2,2,11,21,30.125,11,Belgium,Summer,Antwerp 1920,15.0,0
1924,chamonix-1924,SUI,1,2,0,3,11,25.5,3,France,Winter,Chamonix 1924,26.0,0
1924,chamonix-1924,SUI,1,2,0,3,11,25.5,26,France,Winter,Chamonix 1924,29.0,0
1924,paris-1924,SUI,11,7,8,26,74,26.595744680851062,3,France,Summer,Paris 1924,55.0,0
1924,paris-1924,SUI,11,7,8,26,74,26.595744680851062,26,France,Summer,Paris 1924,58.0,0
1928,amsterdam-1928,SUI,4,7,4,15,48,26.06382978723404,15,Netherlands,Summer,Amsterdam 1928,84.0,0
1928,amsterdam-1928,SUI,4,7,4,15,48,26.06382978723404,1,Netherlands,Summer,Amsterdam 1928,99.0,0
1928,st-moritz-1928,SUI,1,0,0,1,19,26.0,15,Switzerland,Winter,St. Moritz 1928,100.0,1
1928,st-moritz-1928,SUI,1,0,0,1,19,26.0,1,Switzerland,Winter,St. Moritz 1928,115.0,1
1932,lake-placid-1932,SUI,0,0,2,2,3,,2,United States,Winter,Lake Placid 1932,116.0,0
1932,lake-placid-1932,SUI,0,0,2,2,3,,1,United States,Winter,Lake Placid 1932,118.0,0
1932,los-angeles-1932,SUI,0,0,1,1,4,30.5,2,United States,Summer,Los Angeles 1932,119.0,0
1932,los-angeles-1932,SUI,0,0,1,1,4,30.5,1,United States,Summer,Los Angeles 1932,121.0,0
1936,berlin-1936,SUI,5,1,9,15,72,27.682242990654206,15,Germany,Summer,Berlin 1936,122.0,0
1936,berlin-1936,SUI,5,1,9,15,72,27.682242990654206,4,Germany,Summer,Berlin 1936,137.0,0
1936,garmisch-partenkirchen-1936,SUI,0,1,3,4,18,23.1,15,Germany,Winter,Garmisch-Partenkirchen 1936,141.0,0
1936,garmisch-partenkirchen-1936,SUI,0,1,3,4,18,23.1,4,Germany,Winter,Garmisch-Partenkirchen 1936,156.0,0
1948,london-1948,SUI,5,5,11,21,62,30.4,21,Great Britain,Summer,London 1948,160.0,0
1948,london-1948,SUI,5,5,11,21,62,30.4,12,Great Britain,Summer,London 1948,181.0,0
1948,st-moritz-1948,SUI,3,4,5,12,43,26.659574468085108,21,Switzerland,Winter,St. Moritz 1948,193.0,1
1948,st-moritz-1948,SUI,3,4,5,12,43,26.659574468085108,12,Switzerland,Winter,St. Moritz 1948,214.0,1
1952,helsinki-1952,SUI,7,2,6,15,62,28.07766990291262,15,Finland,Summer,Helsinki 1952,226.0,0
1952,helsinki-1952,SUI,7,2,6,15,62,28.07766990291262,3,Finland,Summer,Helsinki 1952,241.0,0
1952,oslo-1952,SUI,3,0,0,3,27,25.357142857142858,15,Norway,Winter,Oslo 1952,244.0,0
1952,oslo-1952,SUI,3,0,0,3,27,25.357142857142858,3,Norway,Winter,Oslo 1952,259.0,0
1956,cortina-d-ampezzo-1956,SUI,2,3,2,7,34,25.38888888888889,7,Italy,Winter,Cortina d'Ampezzo 1956,262.0,0
1960,rome-1960,SUI,4,0,3,7,67,30.234375,7,Italy,Summer,Rome 1960,269.0,0
1960,rome-1960,SUI,4,0,3,7,67,30.234375,2,Italy,Summer,Rome 1960,276.0,0
1960,squaw-valley-1960,SUI,0,2,0,2,21,24.833333333333332,7,United States,Winter,Squaw Valley 1960,278.0,0
1960,squaw-valley-1960,SUI,0,2,0,2,21,24.833333333333332,2,United States,Winter,Squaw Valley 1960,285.0,0
1964,tokyo-1964,SUI,1,1,2,4,39,29.975,4,Japan,Summer,Tokyo 1964,287.0,0
1968,grenoble-1968,SUI,4,0,2,6,24,24.64516129032258,6,France,Winter,Grenoble 1968,291.0,0
1968,grenoble-1968,SUI,4,0,2,6,24,24.64516129032258,5,France,Winter,Grenoble 1968,297.0,0
1968,mexico-city-1968,SUI,4,0,1,5,45,29.363636363636363,6,Mexico,Summer,Mexico City 1968,302.0,0
1968,mexico-city-1968,SUI,4,0,1,5,45,29.363636363636363,5,Mexico,Summer,Mexico City 1968,308.0,0
1972,munich-1972,SUI,0,0,4,4,65,27.46875,4,Federal Republic of Germany,Summer,Munich 1972,313.0,0
1972,munich-1972,SUI,0,0,4,4,65,27.46875,11,Federal Republic of Germany,Summer,Munich 1972,317.0,0
1972,sapporo-1972,SUI,4,4,3,11,26,22.894736842105264,4,Japan,Winter,Sapporo 1972,328.0,0
1972,sapporo-1972,SUI,4,4,3,11,26,22.894736842105264,11,Japan,Winter,Sapporo 1972,332.0,0
1976,innsbruck-1976,SUI,2,1,3,6,31,24.37837837837838,6,Austria,Winter,Innsbruck 1976,343.0,0
1976,innsbruck-1976,SUI,2,1,3,6,31,24.37837837837838,4,Austria,Winter,Innsbruck 1976,349.0,0
1976,montreal-1976,SUI,2,1,1,4,28,27.208333333333332,6,Canada,Summer,Montreal 1976,353.0,0
1976,montreal-1976,SUI,2,1,1,4,28,27.208333333333332,4,Canada,Summer,Montreal 1976,359.0,0
1980,lake-placid-1980,SUI,3,2,1,6,36,23.38235294117647,6,United States,Winter,Lake Placid 1980,363.0,0
1980,lake-placid-1980,SUI,3,2,1,6,36,23.38235294117647,2,United States,Winter,Lake Placid 1980,369.0,0
1980,moscow-1980,SUI,0,2,0,2,25,27.304347826086957,6,USSR,Summer,Moscow 1980,371.0,0
1980,moscow-1980,SUI,0,2,0,2,25,27.304347826086957,2,USSR,Summer,Moscow 1980,377.0,0
1984,los-angeles-1984,SUI,4,0,4,8,71,24.73076923076923,8,United States,Summer,Los Angeles 1984,379.0,0
1984,los-angeles-1984,SUI,4,0,4,8,71,24.73076923076923,5,United States,Summer,Los Angeles 1984,387.0,0
1984,sarajevo-1984,SUI,1,2,2,5,36,23.613636363636363,8,Yugoslavia,Winter,Sarajevo 1984,392.0,0
1984,sarajevo-1984,SUI,1,2,2,5,36,23.613636363636363,5,Yugoslavia,Winter,Sarajevo 1984,400.0,0
1988,calgary-1988,SUI,5,5,5,15,40,24.566666666666666,15,Canada,Winter,Calgary 1988,405.0,0
1988,calgary-1988,SUI,5,5,5,15,40,24.566666666666666,5,Canada,Winter,Calgary 1988,420.0,0
1988,seoul-1988,SUI,2,0,3,5,67,27.378048780487806,15,Republic of Korea,Summer,Seoul 1988,425.0,0
1988,seoul-1988,SUI,2,0,3,5,67,27.378048780487806,5,Republic of Korea,Summer,Seoul 1988,440.0,0
1992,albertville-1992,SUI,2,2,0,4,49,25.0,4,France,Winter,Albertville 1992,445.0,0
1992,albertville-1992,SUI,2,2,0,4,49,25.0,1,France,Winter,Albertville 1992,449.0,0
1992,barcelona-1992,SUI,0,1,0,1,65,27.492753623188406,4,Spain,Summer,Barcelona 1992,450.0,0
1992,barcelona-1992,SUI,0,1,0,1,65,27.492753623188406,1,Spain,Summer,Barcelona 1992,454.0,0
1994,lillehammer-1994,SUI,2,4,5,11,49,26.38961038961039,11,Norway,Winter,Lillehammer 1994,455.0,0
1996,atlanta-1996,SUI,0,5,3,8,59,28.046153846153846,8,United States,Summer,Atlanta 1996,466.0,0
1998,nagano-1998,SUI,3,2,2,7,54,26.397727272727273,7,Japan,Winter,Nagano 1998,474.0,0
2000,sydney-2000,SUI,2,1,6,9,68,27.445945945945947,9,Australia,Summer,Sydney 2000,481.0,0
2002,salt-lake-city-2002,SUI,7,3,3,13,64,26.768421052631577,13,United States,Winter,Salt Lake City 2002,490.0,0
2004,athens-2004,SUI,4,1,2,7,60,29.13888888888889,7,Greece,Summer,Athens 2004,503.0,0
2006,turin-2006,SUI,6,5,4,15,58,27.293478260869566,15,Italy,Winter,Turin 2006,510.0,0
2008,beijing-2008,SUI,4,3,1,8,52,28.5,8,China,Summer,Beijing 2008,525.0,0
2010,vancouver-2010,SUI,3,6,0,9,72,27.625,9,Canada,Winter,Vancouver 2010,533.0,0
2012,london-2012,SUI,0,2,2,4,54,29.238805970149254,4,Great Britain,Summer,London 2012,542.0,0
2014,sochi-2014,SUI,2,8,2,12,91,26.45,12,Russian Federation,Winter,Sochi 2014,546.0,0
2016,rio-2016,SUI,2,3,3,8,55,27.926470588235293,8,Brazil,Summer,Rio 2016,558.0,0
2018,pyeongchang-2018,SUI,4,5,7,16,93,26.725490196078432,16,Republic of Korea,Winter,PyeongChang 2018,566.0,0
2020,tokyo-2020,SUI,7,3,5,15,64,29.857142857142858,15,Japan,Summer,Tokyo 2020,582.0,0
2022,beijing-2022,SUI,5,7,2,14,91,27.216216216216218,14,China,Winter,Beijing 2022,597.0,0
1988,seoul-1988,SUR,0,1,0,1,3,21.2,1,Republic of Korea,Summer,Seoul 1988,611.0,0
1992,barcelona-1992,SUR,1,0,0,1,4,20.666666666666668,1,Spain,Summer,Barcelona 1992,1.0,0
1996,atlanta-1996,SVK,1,1,1,3,47,25.41269841269841,3,United States,Summer,Atlanta 1996,2.0,0
2000,sydney-2000,SVK,1,2,3,6,39,27.854166666666668,6,Australia,Summer,Sydney 2000,3.0,0
2004,athens-2004,SVK,2,3,2,7,37,26.837209302325583,7,Greece,Summer,Athens 2004,9.0,0
2006,turin-2006,SVK,0,0,1,1,28,25.098591549295776,1,Italy,Winter,Turin 2006,16.0,0
2008,beijing-2008,SVK,0,4,3,7,37,29.232558139534884,7,China,Summer,Beijing 2008,17.0,0
2010,vancouver-2010,SVK,1,1,1,3,20,28.651162790697676,3,Canada,Winter,Vancouver 2010,24.0,0
2012,london-2012,SVK,4,0,1,5,35,27.928571428571427,5,Great Britain,Summer,London 2012,27.0,0
2014,sochi-2014,SVK,0,1,0,1,29,26.338709677419356,1,Russian Federation,Winter,Sochi 2014,32.0,0
2016,rio-2016,SVK,0,3,2,5,33,28.41025641025641,5,Brazil,Summer,Rio 2016,33.0,0
2018,pyeongchang-2018,SVK,0,1,2,3,26,27.206349206349206,3,Republic of Korea,Winter,PyeongChang 2018,38.0,0
2020,tokyo-2020,SVK,1,1,2,4,25,31.142857142857142,4,Japan,Summer,Tokyo 2020,41.0,0
2022,beijing-2022,SVK,1,1,0,2,23,26.977272727272727,2,China,Winter,Beijing 2022,45.0,0
1900,paris-1900,SWE,1,0,0,1,8,20.625,1,France,Summer,Paris 1900,47.0,0
1908,london-1908,SWE,12,8,6,26,76,25.351063829787233,26,Great Britain,Summer,London 1908,1.0,0
1912,stockholm-1912,SWE,18,24,26,68,242,28.36271186440678,68,Sweden,Summer,Stockholm 1912,27.0,1
1920,antwerp-1920,SWE,25,19,20,64,126,28.846846846846848,64,Belgium,Summer,Antwerp 1920,95.0,0
1924,chamonix-1924,SWE,0,1,1,2,16,28.681818181818183,2,France,Winter,Chamonix 1924,159.0,0
1924,chamonix-1924,SWE,0,1,1,2,16,28.681818181818183,29,France,Winter,Chamonix 1924,161.0,0
1924,paris-1924,SWE,12,4,13,29,106,30.476635514018692,2,France,Summer,Paris 1924,190.0,0
1924,paris-1924,SWE,12,4,13,29,106,30.476635514018692,29,France,Summer,Paris 1924,192.0,0
1928,amsterdam-1928,SWE,12,6,6,24,63,27.839285714285715,24,Netherlands,Summer,Amsterdam 1928,221.0,0
1928,amsterdam-1928,SWE,12,6,6,24,63,27.839285714285715,5,Netherlands,Summer,Amsterdam 1928,245.0,0
1928,st-moritz-1928,SWE,1,2,2,5,12,26.466666666666665,24,Switzerland,Winter,St. Moritz 1928,250.0,0
1928,st-moritz-1928,SWE,1,2,2,5,12,26.466666666666665,5,Switzerland,Winter,St. Moritz 1928,274.0,0
1932,lake-placid-1932,SWE,0,1,2,3,14,26.666666666666668,3,United States,Winter,Lake Placid 1932,279.0,0
1932,lake-placid-1932,SWE,0,1,2,3,14,26.666666666666668,24,United States,Winter,Lake Placid 1932,282.0,0
1932,los-angeles-1932,SWE,10,9,5,24,42,29.394736842105264,3,United States,Summer,Los Angeles 1932,306.0,0
1932,los-angeles-1932,SWE,10,9,5,24,42,29.394736842105264,24,United States,Summer,Los Angeles 1932,309.0,0
1936,berlin-1936,SWE,8,5,6,19,80,27.646153846153847,19,Germany,Summer,Berlin 1936,333.0,0
1936,berlin-1936,SWE,8,5,6,19,80,27.646153846153847,7,Germany,Summer,Berlin 1936,352.0,0
1936,garmisch-partenkirchen-1936,SWE,3,2,2,7,19,26.11764705882353,19,Germany,Winter,Garmisch-Partenkirchen 1936,359.0,0
1936,garmisch-partenkirchen-1936,SWE,3,2,2,7,19,26.11764705882353,7,Germany,Winter,Garmisch-Partenkirchen 1936,378.0,0
1948,london-1948,SWE,17,18,11,46,102,29.488095238095237,46,Great Britain,Summer,London 1948,385.0,0
1948,london-1948,SWE,17,18,11,46,102,29.488095238095237,10,Great Britain,Summer,London 1948,431.0,0
1948,st-moritz-1948,SWE,3,4,3,10,26,27.210526315789473,46,Switzerland,Winter,St. Moritz 1948,441.0,0
1948,st-moritz-1948,SWE,3,4,3,10,26,27.210526315789473,10,Switzerland,Winter,St. Moritz 1948,487.0,0
1952,helsinki-1952,SWE,10,12,12,34,117,27.625850340136054,34,Finland,Summer,Helsinki 1952,497.0,0
1952,helsinki-1952,SWE,10,12,12,34,117,27.625850340136054,4,Finland,Summer,Helsinki 1952,531.0,0
1952,oslo-1952,SWE,4,0,0,4,35,28.05,34,Norway,Winter,Oslo 1952,535.0,0
1952,oslo-1952,SWE,4,0,0,4,35,28.05,4,Norway,Winter,Oslo 1952,569.0,0
1956,cortina-d-ampezzo-1956,SWE,4,2,4,10,33,26.884615384615383,10,Italy,Winter,Cortina d'Ampezzo 1956,573.0,0
1956,cortina-d-ampezzo-1956,SWE,4,2,4,10,33,26.884615384615383,16,Italy,Winter,Cortina d'Ampezzo 1956,583.0,0
1956,melbourne-1956,SWE,6,5,5,16,57,28.229166666666668,10,"Australia, Sweden",Summer,Melbourne 1956,599.0,0
1956,melbourne-1956,SWE,6,5,5,16,57,28.229166666666668,16,"Australia, Sweden",Summer,Melbourne 1956,609.0,0
1960,rome-1960,SWE,3,2,2,7,82,28.91764705882353,7,Italy,Summer,Rome 1960,625.0,0
1960,rome-1960,SWE,3,2,2,7,82,28.91764705882353,7,Italy,Summer,Rome 1960,632.0,0
1960,squaw-valley-1960,SWE,2,3,2,7,30,26.128205128205128,7,United States,Winter,Squaw Valley 1960,639.0,0
1960,squaw-valley-1960,SWE,2,3,2,7,30,26.128205128205128,7,United States,Winter,Squaw Valley 1960,646.0,0
1964,innsbruck-1964,SWE,1,3,3,7,32,25.125,7,Austria,Winter,Innsbruck 1964,653.0,0
1964,innsbruck-1964,SWE,1,3,3,7,32,25.125,10,Austria,Winter,Innsbruck 1964,660.0,0
1964,tokyo-1964,SWE,5,3,2,10,63,28.09375,7,Japan,Summer,Tokyo 1964,670.0,0
1964,tokyo-1964,SWE,5,3,2,10,63,28.09375,10,Japan,Summer,Tokyo 1964,677.0,0
1968,grenoble-1968,SWE,3,3,2,8,43,25.666666666666668,8,France,Winter,Grenoble 1968,687.0,0
1968,grenoble-1968,SWE,3,3,2,8,43,25.666666666666668,4,France,Winter,Grenoble 1968,695.0,0
1968,mexico-city-1968,SWE,1,2,1,4,63,27.08,8,Mexico,Summer,Mexico City 1968,699.0,0
1968,mexico-city-1968,SWE,1,2,1,4,63,27.08,4,Mexico,Summer,Mexico City 1968,707.0,0
1972,munich-1972,SWE,6,4,7,17,61,27.591549295774648,17,Federal Republic of Germany,Summer,Munich 1972,711.0,0
1972,munich-1972,SWE,6,4,7,17,61,27.591549295774648,4,Federal Republic of Germany,Summer,Munich 1972,728.0,0
1972,sapporo-1972,SWE,2,1,1,4,34,24.3125,17,Japan,Winter,Sapporo 1972,732.0,0
1972,sapporo-1972,SWE,2,1,1,4,34,24.3125,4,Japan,Winter,Sapporo 1972,749.0,0
1976,innsbruck-1976,SWE,2,0,0,2,34,25.555555555555557,2,Austria,Winter,Innsbruck 1976,753.0,0
1976,innsbruck-1976,SWE,2,0,0,2,34,25.555555555555557,6,Austria,Winter,Innsbruck 1976,755.0,0
1976,montreal-1976,SWE,0,5,1,6,62,26.308823529411764,2,Canada,Summer,Montreal 1976,761.0,0
1976,montreal-1976,SWE,0,5,1,6,62,26.308823529411764,6,Canada,Summer,Montreal 1976,763.0,0
1980,lake-placid-1980,SWE,1,3,0,4,36,23.94736842105263,4,United States,Winter,Lake Placid 1980,769.0,0
1980,lake-placid-1980,SWE,1,3,0,4,36,23.94736842105263,13,United States,Winter,Lake Placid 1980,773.0,0
1980,moscow-1980,SWE,7,3,3,13,74,25.41025641025641,4,USSR,Summer,Moscow 1980,786.0,0
1980,moscow-1980,SWE,7,3,3,13,74,25.41025641025641,13,USSR,Summer,Moscow 1980,790.0,0
1984,los-angeles-1984,SWE,6,3,12,21,116,24.586466165413533,21,United States,Summer,Los Angeles 1984,803.0,0
1984,los-angeles-1984,SWE,6,3,12,21,116,24.586466165413533,8,United States,Summer,Los Angeles 1984,824.0,0
1984,sarajevo-1984,SWE,2,4,2,8,37,25.266666666666666,21,Yugoslavia,Winter,Sarajevo 1984,832.0,0
1984,sarajevo-1984,SWE,2,4,2,8,37,25.266666666666666,8,Yugoslavia,Winter,Sarajevo 1984,853.0,0
1988,calgary-1988,SWE,2,4,0,6,43,26.360655737704917,6,Canada,Winter,Calgary 1988,861.0,0
1988,calgary-1988,SWE,2,4,0,6,43,26.360655737704917,13,Canada,Winter,Calgary 1988,867.0,0
1988,seoul-1988,SWE,8,0,5,13,104,25.938053097345133,6,Republic of Korea,Summer,Seoul 1988,880.0,0
1988,seoul-1988,SWE,8,0,5,13,104,25.938053097345133,13,Republic of Korea,Summer,Seoul 1988,886.0,0
1992,albertville-1992,SWE,3,1,0,4,51,26.272727272727273,4,France,Winter,Albertville 1992,899.0,0
1992,albertville-1992,SWE,3,1,0,4,51,26.272727272727273,14,France,Winter,Albertville 1992,903.0,0
1992,barcelona-1992,SWE,4,1,9,14,98,26.79245283018868,4,Spain,Summer,Barcelona 1992,917.0,0
1992,barcelona-1992,SWE,4,1,9,14,98,26.79245283018868,14,Spain,Summer,Barcelona 1992,921.0,0
1994,lillehammer-1994,SWE,0,2,1,3,54,26.21875,3,Norway,Winter,Lillehammer 1994,935.0,0
1996,atlanta-1996,SWE,2,3,5,10,85,27.21875,10,United States,Summer,Atlanta 1996,938.0,0
1998,nagano-1998,SWE,1,0,2,3,46,27.272727272727273,3,Japan,Winter,Nagano 1998,948.0,0
2000,sydney-2000,SWE,3,4,6,13,74,27.788235294117648,13,Australia,Summer,Sydney 2000,951.0,0
2002,salt-lake-city-2002,SWE,5,0,2,7,49,27.725274725274726,7,United States,Winter,Salt Lake City 2002,964.0,0
2004,athens-2004,SWE,2,5,2,9,64,28.675324675324674,9,Greece,Summer,Athens 2004,971.0,0
2006,turin-2006,SWE,5,9,2,16,53,27.08,16,Italy,Winter,Turin 2006,980.0,0
2008,beijing-2008,SWE,2,0,5,7,70,28.296296296296298,7,China,Summer,Beijing 2008,996.0,0
2010,vancouver-2010,SWE,4,5,3,12,51,28.752475247524753,12,Canada,Winter,Vancouver 2010,1003.0,0
2012,london-2012,SWE,3,2,4,9,62,29.0,9,Great Britain,Summer,London 2012,1015.0,0
2014,sochi-2014,SWE,8,2,7,17,47,27.569620253164558,17,Russian Federation,Winter,Sochi 2014,1024.0,0
2016,rio-2016,SWE,3,2,6,11,69,29.44871794871795,11,Brazil,Summer,Rio 2016,1041.0,0
2018,pyeongchang-2018,SWE,1,7,7,15,51,26.35483870967742,15,Republic of Korea,Winter,PyeongChang 2018,1052.0,0
2020,tokyo-2020,SWE,0,3,7,10,60,29.53968253968254,10,Japan,Summer,Tokyo 2020,1067.0,0
2022,beijing-2022,SWE,6,8,6,20,55,26.792079207920793,20,China,Winter,Beijing 2022,1077.0,0
1984,los-angeles-1984,SYR,0,0,1,1,8,28.2,1,United States,Summer,Los Angeles 1984,1097.0,0
1996,atlanta-1996,SYR,0,1,0,1,7,24.4,1,United States,Summer,Atlanta 1996,1.0,0
2004,athens-2004,SYR,1,0,0,1,3,29.0,1,Greece,Summer,Athens 2004,2.0,0
2020,tokyo-2020,SYR,1,0,0,1,4,23.25,1,Japan,Summer,Tokyo 2020,3.0,0
1980,moscow-1980,TAN,0,0,2,2,14,25.3125,2,USSR,Summer,Moscow 1980,4.0,0
1920,antwerp-1920,TCH,3,0,0,3,15,31.285714285714285,3,Belgium,Summer,Antwerp 1920,2.0,0
1924,paris-1924,TCH,5,1,4,10,95,28.37735849056604,10,France,Summer,Paris 1924,3.0,0
1928,amsterdam-1928,TCH,2,2,5,9,47,27.557142857142857,9,Netherlands,Summer,Amsterdam 1928,13.0,0
1928,amsterdam-1928,TCH,2,2,5,9,47,27.557142857142857,1,Netherlands,Summer,Amsterdam 1928,22.0,0
1928,st-moritz-1928,TCH,1,0,0,1,13,25.875,9,Switzerland,Winter,St. Moritz 1928,23.0,0
1928,st-moritz-1928,TCH,1,0,0,1,13,25.875,1,Switzerland,Winter,St. Moritz 1928,32.0,0
1932,los-angeles-1932,TCH,1,1,2,4,6,27.142857142857142,4,United States,Summer,Los Angeles 1932,33.0,0
1936,berlin-1936,TCH,0,3,5,8,82,29.366666666666667,8,Germany,Summer,Berlin 1936,37.0,0
1948,london-1948,TCH,3,7,3,13,31,26.692307692307693,13,Great Britain,Summer,London 1948,45.0,0
1948,london-1948,TCH,3,7,3,13,31,26.692307692307693,1,Great Britain,Summer,London 1948,58.0,0
1948,st-moritz-1948,TCH,0,0,1,1,27,28.295454545454547,13,Switzerland,Winter,St. Moritz 1948,59.0,0
1948,st-moritz-1948,TCH,0,0,1,1,27,28.295454545454547,1,Switzerland,Winter,St. Moritz 1948,72.0,0
1952,helsinki-1952,TCH,2,7,4,13,55,25.66187050359712,13,Finland,Summer,Helsinki 1952,73.0,0
1956,melbourne-1956,TCH,1,1,5,7,44,26.847826086956523,7,"Australia, Sweden",Summer,Melbourne 1956,86.0,0
1960,rome-1960,TCH,3,4,2,9,55,27.984126984126984,9,Italy,Summer,Rome 1960,93.0,0
1960,rome-1960,TCH,3,4,2,9,55,27.984126984126984,1,Italy,Summer,Rome 1960,102.0,0
1960,squaw-valley-1960,TCH,0,0,1,1,4,26.666666666666668,9,United States,Winter,Squaw Valley 1960,103.0,0
1960,squaw-valley-1960,TCH,0,0,1,1,4,26.666666666666668,1,United States,Winter,Squaw Valley 1960,112.0,0
1964,innsbruck-1964,TCH,1,0,0,1,25,25.07894736842105,1,Austria,Winter,Innsbruck 1964,113.0,0
1964,innsbruck-1964,TCH,1,0,0,1,25,25.07894736842105,15,Austria,Winter,Innsbruck 1964,114.0,0
1964,tokyo-1964,TCH,4,5,6,15,44,26.653846153846153,1,Japan,Summer,Tokyo 1964,129.0,0
1964,tokyo-1964,TCH,4,5,6,15,44,26.653846153846153,15,Japan,Summer,Tokyo 1964,130.0,0
1968,grenoble-1968,TCH,1,1,2,4,26,23.871794871794872,4,France,Winter,Grenoble 1968,145.0,0
1968,grenoble-1968,TCH,1,1,2,4,26,23.871794871794872,13,France,Winter,Grenoble 1968,149.0,0
1968,mexico-city-1968,TCH,4,7,2,13,51,24.816666666666666,4,Mexico,Summer,Mexico City 1968,162.0,0
1968,mexico-city-1968,TCH,4,7,2,13,51,24.816666666666666,13,Mexico,Summer,Mexico City 1968,166.0,0
1972,munich-1972,TCH,2,2,4,8,62,26.075757575757574,8,Federal Republic of Germany,Summer,Munich 1972,179.0,0
1972,munich-1972,TCH,2,2,4,8,62,26.075757575757574,3,Federal Republic of Germany,Summer,Munich 1972,187.0,0
1972,sapporo-1972,TCH,2,1,0,3,22,26.727272727272727,8,Japan,Winter,Sapporo 1972,190.0,0
1972,sapporo-1972,TCH,2,1,0,3,22,26.727272727272727,3,Japan,Winter,Sapporo 1972,198.0,0
1976,innsbruck-1976,TCH,0,0,1,1,31,23.6734693877551,1,Austria,Winter,Innsbruck 1976,201.0,0
1976,innsbruck-1976,TCH,0,0,1,1,31,23.6734693877551,8,Austria,Winter,Innsbruck 1976,202.0,0
1976,montreal-1976,TCH,4,2,2,8,54,27.267857142857142,1,Canada,Summer,Montreal 1976,210.0,0
1976,montreal-1976,TCH,4,2,2,8,54,27.267857142857142,8,Canada,Summer,Montreal 1976,211.0,0
1980,lake-placid-1980,TCH,1,0,0,1,19,24.31578947368421,1,United States,Winter,Lake Placid 1980,219.0,0
1980,lake-placid-1980,TCH,1,0,0,1,19,24.31578947368421,15,United States,Winter,Lake Placid 1980,220.0,0
1980,moscow-1980,TCH,10,2,3,15,87,25.84,1,USSR,Summer,Moscow 1980,235.0,0
1980,moscow-1980,TCH,10,2,3,15,87,25.84,15,USSR,Summer,Moscow 1980,236.0,0
1984,sarajevo-1984,TCH,4,0,2,6,27,25.645833333333332,6,Yugoslavia,Winter,Sarajevo 1984,251.0,0
1988,calgary-1988,TCH,2,0,1,3,33,24.2987012987013,3,Canada,Winter,Calgary 1988,257.0,0
1988,calgary-1988,TCH,2,0,1,3,33,24.2987012987013,10,Canada,Winter,Calgary 1988,260.0,0
1988,seoul-1988,TCH,3,3,4,10,84,24.576923076923077,3,Republic of Korea,Summer,Seoul 1988,270.0,0
1988,seoul-1988,TCH,3,3,4,10,84,24.576923076923077,10,Republic of Korea,Summer,Seoul 1988,273.0,0
1992,albertville-1992,TCH,3,0,0,3,44,25.08695652173913,3,France,Winter,Albertville 1992,283.0,0
1992,albertville-1992,TCH,3,0,0,3,44,25.08695652173913,8,France,Winter,Albertville 1992,286.0,0
1992,barcelona-1992,TCH,1,4,3,8,95,25.145454545454545,3,Spain,Summer,Barcelona 1992,294.0,0
1992,barcelona-1992,TCH,1,4,3,8,95,25.145454545454545,8,Spain,Summer,Barcelona 1992,297.0,0
1996,atlanta-1996,TGA,0,0,1,1,3,25.333333333333332,1,United States,Summer,Atlanta 1996,305.0,0
1976,montreal-1976,THA,1,0,0,1,33,28.0,1,Canada,Summer,Montreal 1976,1.0,0
1984,los-angeles-1984,THA,0,0,1,1,26,28.692307692307693,1,United States,Summer,Los Angeles 1984,1.0,0
1988,seoul-1988,THA,1,0,0,1,10,26.6,1,Republic of Korea,Summer,Seoul 1988,2.0,0
